,0
weight,0.9863353675057761
unit_quantity,0.008618533865852663
estimated_distance_km,0.0025402817796234614
tpt,0.00206221848126229
carrier_V44_3,0.0004235963344481761
carrier_V444_1,2.000203303715197e-05
carbon_intensity_of_energy,0.0
