,0
weight_in_gms,0.26440779866305236
discount_offered,0.23491391804708744
cost_of_the_product,0.17539448914191172
prior_purchases,0.06691340801869833
customer_rating,0.061873201998807276
customer_care_calls,0.06081132026492288
gender_M,0.023115739221760568
mode_of_shipment_Ship,0.01796619321446157
warehouse_block_F,0.017016543673495158
product_importance_medium,0.013430524261280653
product_importance_low,0.013351245338053819
warehouse_block_B,0.013327154714169112
warehouse_block_C,0.012816463418441447
warehouse_block_D,0.012376865102947367
mode_of_shipment_Road,0.012285134920910273
